Module	Section	Sample Name	Source
FastQC	all_sections	SRR13822277_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822277_1_trimmed_fastqc.zip
FastQC	all_sections	SRR13822279_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822279_2_trimmed_fastqc.zip
Cutadapt	all_sections	SRR13822274_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822274_1_fastqc.zip_trimming_report.txt
Cutadapt	all_sections	SRR13822278_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822278_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822276_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822276_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822277_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822277_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822275_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822275_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822282_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822282_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822281_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822281_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822274_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822274_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822275_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822275_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822276_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822276_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822281_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822281_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822280_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822280_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822278_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822278_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822282_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822282_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822280_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822280_2.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822279_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822279_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822277_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822277_1.fastq_trimming_report.txt
Cutadapt	all_sections	SRR13822279_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIMMED_FASTQC/SRR13822279_2.fastq_trimming_report.txt
